10002 Dimostrazione, 10002_LF-S11x
10003 fiera Technopharm 2010, fiera Technopharm 201
10004 fiera Total 2010, fiera Total 201
10005 fiera K-2010, fiera K-201
10006 fiera AEROSOL CONGRESS 2010, fiera AEROSOL CONGRESS 201
10011 dimostrazione in Germania, LF-S11x
10012 TIPO NUOVO A MAGAZZINO, LF-S11-
10013 MECC X 2 KBA900-INTERNA, 10013-PEZZI
10014 FIERA P-MEC INDIA, LVA-150
10016 10016_LF-LASER, 10016_LF-LASE
10017 10017_TAPPADORA, 10017_TAPPADOR
10020 fiera Emballage, 10020_LF-S11per
10021 up IV BAG, 10021_moch
10022 x Stick-Pack, 10022_mock-up
10023 Manuali, 10023_Innovazione
10102 RLD-230S-15040, Aux. Cons No. 2
10106 - Clevert attività VLD15050, - Clevert attività VLD1505
10109 Parmaceuticals Ltd LF-S, 10109_Cadila
10110 B.T. x Brasilata, KBA-12036
10112 RLD-230-RS-15050, B.T. x Goya No. 2
10113 Grumetal S.A, KBA-09024
10114 IGM x HUBER UNGHERIA - Prima HSL-200-01, IGM x HUBER UNGHERIA - Prima HSL-200-0
10115 IGM x HUBER AUSTRIA - Seconda HSL-200-01, IGM x HUBER AUSTRIA - Seconda HSL-200-0
10117 Cevolani VLD-12030, Cevolani VLD-1203
10118 Cevolani VLD-12020, Cevolani VLD-1202
10120 Areej Vegetable Oils & Derivates  RLD-230S-09012, Areej Vegetable Oils & Derivates  RLD-230S-0901
10121 Areej Vegetable Oils & Derivates  HSL-200-02, Areej Vegetable Oils & Derivates  HSL-200-0
10122 Malta P.E. HSL 200-2, Malta P.E. HSL 200-
10125 ML-S 06, LAMEPLAST - No. 2
10127 C-PROVA, TEVA LF-S11IN
10131 PE per Malta HSL 200, PE per Malta HSL 20
10151 x GUANGZHOU PANYU, 10151_B.T.
10152 ACTAVIS_ formato 100 ml, 10152_LFS_SC
10153 MIN. SAN BENEDETTO_verifica e test, 10153_LFTP06_ACQUA
10154 x DE LONGHI, 10154_PROVE
10155 CHILE x CORANDES ARGENTINA, 10155_KBA-12036-INESA
10156 0316-B.T. x BAXTER HEALTHCARE CORP, 10156_PK-V
10157 SPECIALITY PACKAGING, 10157-HSL-200-02-CROWN
10158 Aerosol Can S.p.A, 10158-KBA-12036-European
10159 Parma, 10159-PROVE-GSK
10160 COUTANCE upgrade stella e HMI, 10160_PK-VS-0812_UNITHER
10161 ITALIA x CELLTRION, 10161-LF-S-IMA
10162 x STANDARD CAN, 10162-VLD-16050-B.T.
10163 x STANDARD CAN, 10163-VLD-15025-B.T.
10164 4 STERN-01-SERDAR PLASTIK VE AMBALAJ SAN AS, 10164-No.
10165 01-LAMEPLAST, 10165-ML-S
10166 KABY ONCOLOGY  - formati, 10166_LF-S11FRESENIUS
10167 ENVASES S.A.U, 10167-VLD-12020-DX-MIVISA
10168 PHARMA, 10168-LF-S-UNITED
10169 WARE, 10169-PROVE-GSK
10170 2-RLD-400A-04516 SANO, 10170-No.
10171 SASATECH, 10171-RLD-400A-04516
10172 0324 GSK PARMA, 10172-PK-A
10173 - upgrade, 10173-LFS-GENESIS
10174 x HUBER, 10174-HSL-200-01-IGM
10175 coclea x d. 57, 10175_HSL-200-02_METALTRO_gruppo
10176 PACKAGING UK_gruppo coclea, 10176_HSL-200-2_GRAHAM
10177 PHARMA_formato-campane-nastro, 10177_PKV-212_SUN
10178 in c-prova-POLPHARMA S.A, 10178-LF-BLI
10179 Campana superiore, 10179_LF-PK-01_KEDRION_
10180 ITALIA, 10180_PROVE-NOVARTIS
10181 PHARMACEUTICAL - Nagar Haveli, 10181_LF-BLI-SUN
10182 PHARMACEUTICAL Inds Ltd - Gujarat, 10182_LF-BLI-SUN
10183 Upgrade pc, 10183_KBA-07216_METAPRINT_
10184 bustone Chiesi farm, 10184_prove
10185 CANS ESPAÑA S.L, 10185_KBA-09024-EUROPEAN
10186 Package, 10186_LF-BLI_POLPHARMA_Validation
10187 2 RLD-400DC 06020-CAPITOL EUROPE, 10187_No.
10188 MARIETTA_ modifiche software, 10188_PKV-648_GSK
10189 PLASTIC PACKAGING, 10189_STERN-01-ARGO
10190 3 STERN-01-PAN GULF PLASTICS, 10190_No.
10191 ltd, 10191_LF-S-MEDIWOUND
10192 PHARMACEUTICALS IRELAND, 10192_LF-SMH-TEVA
10193 EMBALLAGES, 10193_KBA-09024_GARGORI
10194 15040-AUXILIAR CONSERVERA S.A, 10194_RLD-230S
10195 PHARMACEUTICALS S.A, 10195_LF-BLI-GLAXOSMITHKLINE
10196 12030-AUXIMARA S.A, 10196_VLD
10197 SOLUTION_ verifiche generali, 10197_LFS_MB
10198 Ltd, 10198_KBA-09024-FAVOR
10199 S.n.c, 10199_RLD-220-06016-EUROGRAF
10200 CLOSURES, 10200_PROVE-GUALA
10201 COUTANCES, 10201_PROVE-UNITHER
10202 x ILDONG_campana 100ml, 10202_LFS_MBS
10203 2 VLD-12030 + No. 1 STERN-01-SPEM, 10203_No.
10204 S.p.A, 10204_ML-S_LAMEPLAST
10205 02_LAMEPLAST S.p.A, 10205_ML-S
10206 2 VLD-15050_VENEZIANO S.r.l, 10206_No.
10207 NS, 10207_ML-05_MASCHIO
10208 10208_LAMEPLAST_Ewon, 10208_LAMEPLAST_Ewo
10209 _B.T. x RANBAXY, 10209_PROVE
10210 elet_BE x Cerviflan, 10210_prog_costr_quad
10211 x HANMI PHARM CO. LTD, 10211_LF-S_B.T.
10212 09015-B.T. x BRASILATA, 10212_RLD-230R
10213 x Pfizer, 10213_Prove_B.T.
10214 2 formati, 10214_LF-BLI_TEVA_N.
10215 CANS_N. 2 formati, 10215_KBA-09024_EUROPEAN
10216 AMIENS_N. 2 upgrade nastro, 10216_PK-VS-0812_UNITHER
10217 2 formati, 10217_LF-BLI_TEVA_N.
11001 6 LF-S-COMMESSA INTERNA, 11001_No.
11002 3 LF-BLI-COMMESSA INTERNA, 11002_No.
11003 12036 LF-400 A_FIERA METPACK 2011, 11003_KB-A
11004 MACC_FIERA INTERPACK 2011, 11004_VARIE
11005 Asep_Man_Workshop, 11005_LF-S_GSK
11006 2 KB-A 12036-COMMESSA INTERNA, 11006_No.
11007 SU STERN M0411 A MAGAZZINO-COMMESSA INTERNA, 11007_MODIFICA
11008 TECHNOPHARM 2011, LF-S11FIERA
11009 FIERA P-MEC INDIA 2011, LVA-150
11010 CFIA METZ 2011, LF-S11FIERA
11101 e modifica campane, 11101_LF_LFB_coperchi
11102 11102_RLD_400-A-04516_SANO_tooling, 11102_RLD_400-A-04516_SANO_toolin
11103 PHARMACEUTICAL INDUSTRIES, 11103-LF-BLI-TEVA
11104 x TUBEDEC, 11104-PROVE-B.T.
11105 x JIANGZHONG PHARMA, 11105_PROVE-B.T.
11106 12036-B.T. x QUERUCLOR, 11106_KB-A
11107 0818-LAB. UNITHER AMIENS, 11107_PK-VS
11108 1015-TEVA PHARMACEUTICAL INDUSTRIES LTD, 11108_PK-VS
11109 0818-LAB. UNITHER COUTANCES, 11109_PK-VS
11110 S.A, 11110_LF-SMH-BIOKIT
11111 VOGHERA_fuga calibrata + bombola, 11111_KBA-09024_IMPRESS
